;Source Domain;Target Domain;Title;Metaphor;Example
0;object, mover;force;A Force Is A Moving Object;The Object Has A Source;Even small magnets are sources of magnetism that can erase credit cards.
1;body of water;problem;A Problem Is A Body Of Water;Investigating Problem Is Exploring Water;He dived right into the problem.
2;container;problem;A Problem Is A Locked Container For Its Solution;The Solution Is Contained In The Problem;We have to look deeply into this problem for its solution.
3;location;problem;A Problem Is A Region In A Landscape;Investigating A Problem Is Exploring A Landscape;We've got to explore this problem.
4;moving object, mover;schedule;A Schedule Is A Moving Object;A Schedule Is A Moving Object;He was behind (the) schedule.
5;motion, moving, path;action;Action Is Self-propelled Motion;Action Is Self-propelled Motion;He exercised to the point of exhaustion.
6;warmth, heat;affection;Affection Is Warmth;Affection Is Warmth;She's a warm person.
7;heat;anger;Anger Is Heat;Anger Is Heat;She's a real hothead.
8; people;self;Aspects Of The Self Are Distinct Individuals;Aspects Of The Self Are Distinct Individuals;He's at war with himself over the decision whether to move.
9;beings, life cycle;beliefs;Beliefs Are Beings With A Life Cycle;Beliefs Are Beings With A Life Cycle;The belief lives on.
10;fashions;beliefs;Beliefs Are Fashions;Beliefs Are Fashions;A belief in materialism is passe/old
11;guides, influences, paths;beliefs;Beliefs Are Guides;Beliefs Are Guides;Beliefs dictate actions.
12;lovers, spouses, partners, people ;beliefs;Beliefs Are Love Objects;Considering Believing Is Considering Entering A Relationship;He flirted with a belief in utter hedonism in his youth.
13;possessions;beliefs;Beliefs Are Possessions;Beliefs Are Possessions;I hold certain beliefs.
14;motion, change of location;change of state;Change Is Motion (location);Change Is Motion (location);He went from innocent to worldly.
15;direction, motion, movement;change;Change Of State Is Change Of Direction;Change Of State Is Change Of Direction;He turned all funny.
16;whole;coherence;Coherent Is Whole;Coherent Is Whole;Something is missing in that argument,
17;speech;communication;Communication Is Linguistic Communication;Communication Is Linguistic Communication;Body language
18;1-or-1 physical aggression, fight;competition;Competition Is 1 On 1 Physical Aggression;Competition Is 1 On 1 Physical Aggression;He clobbered me at tennis.
19;race, running, racing;competition;Competition Is A Race;Competition Is A Race;The arms race.
20;war;competition;Competition Is War;Competition Is War;The debate team brought out their big guns.
21;adherence;compliance;Complience Is Adherence;Complience Is Adherence;He stuck by his word.
22;following;compliance;Complience Is Following;Complience Is Following;He went along with what he was told to do.
23;size;conceit;Conceit Is Inflation;Conceit Is Inflation;She's got an inflated ego/sense of herself
24;disease;belief;Dangerous Beliefs Are Contagious Diseases;Dangerous Beliefs Are Contagious Diseases;an infectious idea
25;cover;darkness;Darkness Is A Cover;Darkness Is A Cover;Under cover of darkness.
26;solid, substance;darkness;Darkness Is A Solid;Darkness Is A Solid;The darkness was palpable.
27;hunger, eating;desire;Desire Is Hunger;Desire Is Hunger;He was drooling over her.
28;adversary;difficult subjects;Difficult Subjects Are Adversaries;Difficult Subjects Are Adversaries;Math 250 was a killer course.
29;nausea;disgust;Disgust Is Nausea;Disgust Is Nausea;You make me sick!
30;contact, touch;feeling;Effect On Emotional Self Is Contact With Physical Self;Effect On Emotional Self Is Contact With Physical Self;Feelings.
31;injury;humor;Effects Of Humor Are Injuries;Effects Of Humor Are Injuries;The comedian knocked them over.
32;motion;emotion;Emotion Is Motion;Emotion Is Motion;I was moved by the poem.
33;balance;emotion stability;Emotional Stability Is Balance;Emotional Stability Is Balance;He is unbalanced
34;contact ground;emotion stability;Emotional Stability Is Contact With The Ground;Emotional Stability Is Contact With The Ground;She has her feet on the ground
35;entities, substances;emotions;Emotions Are Entities Within A Person;Emotions Are Entities Within A Person;I was filled with rage.
36;forces, causes, motion;emotions;Emotions Are Forces;Emotions Are Physical Forces;I was moved by the poem
37;verticality;euphoria;Euphoric States Are Up;Euphoric States Are Up;He's really high
38;cover, clothes;external appearance;External Appearance Is A Cover;External Appearance Is A Cover;The crisis stripped away our veneer of sophistication.
39;weather;adversity;External Conditions Are Climate;External Conditions Are Climate;The climate is right for a takeover.
40;points;facts;Facts Are Points (set Up In Spatial Configuration);Facts Are Points (set Up In Spatial Configuration);The theory touches on those points.
41;cold temparature;fear;Fear Is Cold;Fear Is Cold;He had cold feet
42;motion, movement;form;Form Is Motion;Form Is Motion;The roof slopes.
