;Source Domain;Target Domain;Title;Metaphor;Example
2;moving object;force;A Force Is A Moving Object;The Object May Have An Intention;Greed is the strongest evil force at work in the world today.
7;moving object;force;A Force Is A Moving Object;The Object Can Hold/control The Affected Party;The force of his hypnotic words had me in its grip.
8;moving object;force;A Force Is A Moving Object;The Strength Of The Object Determines Its Ability To Affect Affected Party.;The force of gravity on the moon is much weaker.
11;body of water;problem;A Problem Is A Body Of Water;Investigating Problem Is Exploring Water;He dived right into the problem.
14;body of water;problem;A Problem Is A Body Of Water;Difficulty In Solving Is Difficulty In Exploring Water;The murky waters of the investigation frustrated him.
16;body of water;problem;A Problem Is A Body Of Water;Trying To Solve Is Looking For Object In Water;He kept coming up empty.
20;container;problem solving;A Problem Is A Locked Container For Its Solution;Solving A Problem Involves Opening An Object;The detective set out to crack the case.
22;container;problem solving;A Problem Is A Locked Container For Its Solution;Means To Solving Is Means To Opening;He finally found the key to the problem.
25;container;problem solving;A Problem Is A Locked Container For Its Solution;Discovered Solution Is Removed From Container;The truth finally came out.
29;location;problem;A Problem Is A Region In A Landscape;Investigating A Problem Is Exploring A Landscape;Let's map out the problem before we do anything else.
30;location;problem;A Problem Is A Region In A Landscape;Trying To Solve A Problem Is Looking For Solution In The Landscape;I think we're headed in the right direction.
31;location;problem;A Problem Is A Region In A Landscape;Trying To Solve A Problem Is Looking For Solution In The Landscape;How close are we to finding a solution?
35;path;problem;A Problem Is A Region In A Landscape;(a.k.a. Reasoning is Following a Path, Thinking is Moving);Let's follow this line of thinking.
38;path;problem;A Problem Is A Region In A Landscape;(a.k.a. Reasoning is Following a Path, Thinking is Moving);Let's get our thinking back on track.
55;moving object;schedule;A Schedule Is A Moving Object;A Schedule Is A Moving Object;He finally caught up to schedule.
56;moving object;schedule;A Schedule Is A Moving Object;A Schedule Is A Moving Object;Then he got ahead of schedule.
57;moving object;schedule;A Schedule Is A Moving Object;A Schedule Is A Moving Object;The class was trying to keep up with the schedule.
72;motion;action;Action Is Self-propelled Motion;Easy Action Is Easy Motion;It is smooth sailing from here on in in the application process.
76;motion;action;Action Is Self-propelled Motion;Action Is Self-propelled Motion;He successfully navigated her way through the contract negotiations.
77;motion;action;Action Is Self-propelled Motion;Manner Of Action Is Manner Of Motion;We slogged through the application process.
91;goal;final state;Action Is Self-propelled Motion;Final States Are Final Locations;I ended up exhausted.
92;goal;final state;Action Is Self-propelled Motion;Final States Are Final Locations;He's headed for an early death.
93;goal;final state;Action Is Self-propelled Motion;Final States Are Final Locations;His reckless investments are taking him into backruptcy.
